Threshold,January(Pr),January(Re),February(Pr),February(Rc),March(Pr),March(Rc),April(Pr),April(RC),May(Pr),May(Rc),June(P),June®,July(P),July(Rc),August(Pr),August(Rc),September(Pr)September(Rc),,Oct(Pr),Oct(Rc),Nov(Pr),Nov(Rc),Dec(Pr),Dec(Rc)
0.8,0.728323015653957,0.987754010695187,0.71241603855817,0.990677361853832,0.628264278733608,0.985490196078431,0.598971694539157,0.986381461675579,0.576310007462068,0.991212121212121,0.577505639703513,0.990231729055258,0.582120059117638,0.989946524064171,0.573748503982502,0.99126559714795,0.588379004367921,0.991675579322638,0.587633221721082,0.991675579322638,0.639743604523812,0.989162210338681,0.69999873964937,0.990017825311943
0.81,0.722430198097021,0.990695187165775,0.707897579261707,0.99301247771836,0.624736575195808,0.988163992869875,0.593777055698665,0.990231729055258,0.570948507263898,0.993368983957219,0.572315472458346,0.992513368983957,0.575862532438664,0.99283422459893,0.568019895832272,0.993386809269162,0.579781097009573,0.99427807486631,0.583136311329637,0.993618538324421,0.635667683588706,0.991675579322638,0.696238946354642,0.992245989304813
0.82,0.716402361384419,0.992887700534759,0.703550982320748,0.994527629233512,0.621303759684289,0.990641711229946,0.58864431317433,0.992941176470588,0.566135312728158,0.995187165775401,0.566989146782651,0.994545454545454,0.569406457933625,0.994563279857398,0.562483628523645,0.995204991087344,0.573350574181829,0.995882352941176,0.578849144634526,0.995187165775401,0.631667233367335,0.993440285204991,0.69220073001763,0.993832442067736
0.83,0.710071896672393,0.994670231729055,0.698418453460024,0.995775401069519,0.617912335393115,0.99283422459893,0.583911437569974,0.994741532976827,0.561593475029129,0.996613190730838,0.561575265358636,0.995900178253119,0.563696709238747,0.99602495543672,0.557073394312588,0.996595365418895,0.567213979290691,0.996951871657754,0.574761694207653,0.996345811051693,0.628036226584913,0.9950623885918,0.688488809421049,0.99524064171123
0.84,0.704045252403089,0.996167557932264,0.693591587718863,0.997040998217469,0.614805023132849,0.994866310160428,0.579324855155831,0.996345811051693,0.557057266267243,0.997718360071301,0.556403166772756,0.997201426024955,0.55788833256867,0.997058823529412,0.551262606366215,0.997736185383244,0.561830115210148,0.997914438502674,0.570751012331575,0.997450980392157,0.624670332126414,0.996399286987522,0.684336169431352,0.996434937611408
0.85,0.696467922461125,0.997165775401069,0.687972373450001,0.997878787878788,0.611809911655555,0.99620320855615,0.574835348875441,0.997272727272727,0.552365831048697,0.998413547237077,0.552183772059548,0.998360071301248,0.552581450665719,0.997985739750446,0.546353643430511,0.998502673796792,0.556406436233611,0.99855614973262,0.566987244381454,0.998342245989305,0.621234831073954,0.997397504456328,0.679697841901361,0.997629233511586
0.86,0.68827448859166,0.997985739750446,0.682458854629844,0.998591800356506,0.608826730518067,0.997130124777184,0.570671558137165,0.998217468805704,0.547738202291121,0.998894830659536,0.547337682631455,0.998983957219251,0.54734435902195,0.998752228163993,0.541934173886139,0.999090909090909,0.55122997177114,0.998983957219251,0.562857831615741,0.998877005347594,0.616922110691186,0.998039215686274,0.675532235691454,0.998306595365419
0.87,0.678266133914518,0.998538324420677,0.675902815457889,0.99921568627451,0.605443574549072,0.998021390374332,0.566466448246572,0.99855614973262,0.543340892791378,0.999340463458111,0.542730740188581,0.999340463458111,0.542102260089166,0.999197860962567,0.53784906420575,0.999411764705882,0.546698260394727,0.999376114081996,0.558527595138474,0.999376114081996,0.612759627689245,0.998645276292335,0.670527978555359,0.998787878787879
0.88,0.668089113513642,0.999073083778966,0.668630373859639,0.999429590017825,0.601793577488992,0.998805704099822,0.562183415749722,0.999073083778966,0.538997549137392,0.999643493761141,0.53782778001573,0.999554367201426,0.537062937062937,0.999358288770054,0.533744491714968,0.999643493761141,0.542656138109892,0.999590017825312,0.554680699533117,0.999572192513369,0.608199318532023,0.999073083778966,0.664828256950375,0.999162210338681
0.89,0.656396689571213,0.999536541889483,0.660390245051283,0.999661319073084,0.597439969305211,0.99921568627451,0.557472407278512,0.999376114081996,0.534977107974056,0.999768270944742,0.533014654172923,0.999768270944742,0.532091549162128,0.999554367201426,0.529985354561345,0.999839572192513,0.538484432454229,0.999786096256684,0.550778718306263,0.999786096256684,0.602853732755562,0.999393939393939,0.65875953144643,0.999447415329768
0.9,0.642900537603595,0.999750445632798,0.649882402011331,0.999857397504456,0.592620386420327,0.999447415329768,0.552857790658702,0.99969696969697,0.531228987318995,0.999875222816399,0.528423115331713,0.99982174688057,0.527806530535429,0.99982174688057,0.526416546235994,0.999928698752228,0.534280108202842,0.999875222816399,0.546559098925297,0.999910873440285,0.597315865154178,0.999625668449198,0.651652489192581,0.999572192513369
