,J_p,J_r,F_p,F_r,M_p,M_r,A_p,A_r,M_p,M_r,June_p,June_r,July_p,July_r,Aug_p,Aug_r,Sep_p,Sep_r,Oct_p,Oct_r,No_p,No_r,Dec_p,Dec_r
1.41,0.890085382948898,0.747005347593583,0.93019987185052,0.802210338680927,0.953061808080395,0.831729055258467,0.945336568083795,0.875169340463458,0.959521832332323,0.885650623885918,0.933303365735798,0.888235294117647,0.919019426456984,0.885436720142602,0.949865021210952,0.87807486631016,0.955695831460455,0.871693404634581,0.893189341124693,0.860980392156863,0.95187566319206,0.815508021390374,0.898109814745118,0.765650623885918
1.42,0.892398286937901,0.742869875222816,0.932085039173715,0.799483065953654,0.954673290497403,0.828966131907308,0.947299205136635,0.873119429590018,0.961375138153685,0.88379679144385,0.935577339178536,0.886363636363636,0.920882019654103,0.883636363636364,0.95195770884164,0.876310160427808,0.957478955320527,0.869803921568627,0.895865863632984,0.859073083778966,0.953476215368531,0.812834224598931,0.90037886760682,0.762513368983957
1.43,0.894593719650372,0.738877005347594,0.934092809364548,0.796559714795009,0.955780489816113,0.826434937611408,0.949749329602425,0.871229946524064,0.963137407551576,0.882103386809269,0.937579112429389,0.884616755793226,0.922739817991944,0.882014260249554,0.953141391770603,0.874545454545454,0.959132626935046,0.86807486631016,0.898433410603455,0.856666666666667,0.954775558216229,0.810231729055258,0.902210740301542,0.759465240641711
1.44,0.896947560657448,0.735401069518717,0.93588261262587,0.793565062388592,0.956847486391953,0.824099821746881,0.951599687865782,0.869500891265597,0.964642912955149,0.880249554367201,0.939482470784641,0.882745098039216,0.924550203134068,0.880267379679144,0.954641185647426,0.872620320855615,0.960671936758893,0.866488413547237,0.901023954908407,0.854848484848485,0.956013339524674,0.807379679144385,0.903407155025553,0.756221033868093
1.45,0.89859068627451,0.731942959001783,0.937477557400249,0.791140819964349,0.957828697259904,0.821871657754011,0.95311092838404,0.867789661319073,0.966292134831461,0.878395721925134,0.941216808259362,0.88078431372549,0.926595324519005,0.878217468805704,0.95622981305667,0.870748663101604,0.962021299803661,0.864670231729055,0.903142991977348,0.85283422459893,0.957150429343793,0.804705882352941,0.905041458659182,0.752959001782531
1.46,0.900451890223741,0.728146167557932,0.939242012236574,0.788092691622103,0.958737307395592,0.819643493761141,0.954814363489848,0.865953654188948,0.967719726178299,0.876916221033868,0.942872438054451,0.879073083778966,0.92873328801269,0.87668449197861,0.957424245399737,0.86903743315508,0.963672575184226,0.862495543672014,0.905256770082682,0.850909090909091,0.958464617218769,0.802513368983957,0.906571262311688,0.749803921568627
1.47,0.902232589136954,0.723957219251337,0.940686651293876,0.785347593582888,0.959660030563755,0.817147950089126,0.956432517758485,0.864028520499109,0.96916760427153,0.875204991087344,0.944331439975437,0.877201426024955,0.93057898227992,0.875258467023173,0.958575567073291,0.867040998217469,0.965340102740411,0.860873440285205,0.907500904985997,0.849055258467023,0.95952533675433,0.799946524064171,0.908015085179245,0.746773618538324
1.48,0.904373112627223,0.720677361853832,0.942080885191062,0.783119429590018,0.960634720470786,0.814741532976827,0.957674787086552,0.861907308377896,0.970393108228537,0.873440285204991,0.945930333314078,0.875668449197861,0.932176626143865,0.873404634581105,0.959950952277357,0.865204991087344,0.966895389430601,0.85903743315508,0.909419735129756,0.847040998217469,0.960437059934742,0.797522281639929,0.909580264132851,0.74397504456328
1.49,0.906273228967226,0.717183600713012,0.943537781610434,0.780142602495544,0.961635857179033,0.812299465240642,0.959220598469033,0.859964349376114,0.971522757963301,0.87204991087344,0.947455891162773,0.873939393939394,0.93386930451056,0.871711229946524,0.961037930487224,0.863529411764706,0.968017872957089,0.857308377896613,0.911135459316072,0.844919786096257,0.961395870155624,0.7950623885918,0.910835560618674,0.741105169340463
1.5,0.908035289048148,0.713689839572193,0.94472601256227,0.777504456327986,0.962472733433575,0.810106951871658,0.960814452540174,0.857967914438503,0.972583087590659,0.870089126559715,0.948941203847347,0.872281639928699,0.935380604596776,0.869803921568627,0.962238235528306,0.861657754010695,0.969194121447028,0.855793226381462,0.913237423964468,0.842994652406417,0.962226984436219,0.792370766488414,0.91217243735261,0.737754010695187
